pos,voltage
-11,23455
-10,23455
-9,23455
-12,23455
-10,23455
-17,23455
-13,23455
-16,23455
-9,23455
-10,23455
-12,23455
-13,23455
-15,23455
-13,23455
-7,23455
-14,23455
-13,23455
-11,23455
-19,23455
-12,23455
-9,23455
-15,23455
-13,23455
-13,23455
-9,23455
-14,23455
-11,23455
-19,23455
-12,23457
-14,23457
-11,23457
-13,23457
-18,23457
-13,23457
-15,23457
-15,23457
-8,23457
-10,23457
-14,23457
-11,23457
-13,23457
-12,23457
-9,23457
-17,23457
-9,23457
-8,23457
5,1953
3,1953
-4,1953
-4,1953
1,1953
2,1953
4,1953
-3,1953
-3,1953
-1,1953
3,1953
1,1953
0,1953
2,1953
4,1953
0,1953
-3,1953
-1,1953
0,1953
1,1953
1,1953
1,1953
-1,1953
4,1953
0,1953
2,1953
1,1953
0,1953
-1,1953
1,1953
2,1953
-2,1953
2,1953
1,1953
1,1953
0,1953
-1,1953
0,1953
1,1953
2,1953
0,1953
1,1953
5,1953
-1,1953
5,1953
1,1953
3,1953
-2,1953
4,1953
3,1953
1,1953
1,1953
0,1953
3,1953
1,1953
2,1953
-1,1953
2,1953
2,1953
1,1953
-2,1953
4,1953
1,1953
0,1953
0,1953
-1,1953
2,1953
-1,1953
-2,1953
2,1953
-2,1953
3,1953
2,1953
3,1953
0,1953
4,1953
-8,1953
0,2002
2,2002
-2,2002
3,2002
1,2004
3,2004
2,2004
3,2004
5,2007
-2,2007
-2,2007
5,2007
1,2009
-2,2009
1,2009
-4,2009
2,2012
2,2012
-2,2012
-1,2012
1,2014
2,2014
4,2014
2,2014
-2,2017
-1,2017
1,2017
-5,2017
1,2019
1,2019
-1,2019
1,2019
2,2021
2,2021
1,2021
-2,2021
-1,2024
3,2024
3,2024
1,2026
1,2026
3,2026
2,2026
1,2029
1,2029
4,2029
3,2029
2,2031
3,2031
-2,2031
-4,2031
3,2034
-2,2034
1,2034
0,2034
2,2036
3,2036
1,2036
1,2036
1,2039
0,2039
4,2039
3,2039
3,2041
2,2041
3,2041
0,2041
-1,2043
2,2043
0,2043
-2,2043
1,2046
2,2046
2,2046
2,2046
2,2048
1,2048
-3,2048
5,2048
1,2051
2,2051
1,2051
0,2053
1,2053
0,2053
-1,2053
1,2056
-2,2056
3,2056
-1,2056
3,2058
1,2058
-1,2058
6,2058
-3,2061
-2,2061
3,2061
6,2061
2,2063
2,2063
0,2063
1,2063
3,2065
0,2065
2,2065
1,2065
0,2068
1,2068
-2,2068
0,2068
0,2070
-2,2070
-1,2070
1,2070
4,2073
2,2073
0,2073
1,2073
2,2075
0,2075
4,2075
2,2075
1,2078
3,2078
2,2078
3,2080
-4,2080
4,2080
-6,2080
-2,2083
2,2083
0,2083
2,2083
-2,2085
1,2085
-3,2085
-1,2085
2,2087
4,2087
0,2087
5,2087
-1,2090
-3,2090
1,2090
1,2090
0,2092
2,2092
3,2092
3,2092
-2,2095
-1,2095
1,2095
0,2095
1,2097
3,2097
1,2097
-2,2097
0,2097
-2,2097
-1,2097
1,2097
-3,2100
1,2100
-2,2100
-4,2100
0,2100
0,2100
-1,2100
5,2102
2,2102
3,2102
4,2102
3,2102
-4,2102
-1,2102
3,2102
0,2104
1,2104
2,2104
2,2104
1,2104
0,2104
2,2104
-2,2104
2,2107
1,2107
0,2107
0,2107
-3,2107
-1,2107
0,2107
4,2107
1,2109
-1,2109
0,2109
-1,2109
-3,2109
0,2109
4,2109
4,2109
0,2112
-1,2112
3,2112
2,2112
-2,2112
2,2112
1,2112
0,2114
0,2114
5,2114
-2,2114
4,2114
-2,2114
-1,2114
0,2114
1,2117
2,2117
0,2117
2,2117
4,2117
2,2117
1,2117
3,2117
2,2119
3,2119
0,2119
1,2119
0,2119
7,2119
-2,2119
0,2119
-6,2122
2,2122
-2,2122
0,2122
1,2122
0,2122
0,2122
1,2122
-2,2124
2,2124
0,2124
5,2124
0,2124
1,2124
0,2124
-1,2124
-1,2126
5,2126
0,2126
5,2126
0,2126
5,2126
3,2126
-1,2129
-1,2129
6,2129
-1,2129
4,2129
1,2129
-1,2129
1,2129
3,2131
-1,2131
-2,2131
-1,2131
-1,2131
-1,2131
2,2131
2,2131
5,2134
0,2134
5,2134
3,2134
0,2134
4,2134
1,2134
2,2134
-2,2136
-3,2136
4,2136
-1,2136
2,2136
-3,2136
4,2136
2,2136
1,2139
0,2139
1,2139
-1,2139
2,2139
1,2139
0,2139
2,2141
-4,2141
-2,2141
-3,2141
2,2141
6,2141
0,2141
-1,2141
6,2144
4,2144
2,2144
2,2144
3,2144
3,2144
5,2144
0,2144
-4,2146
4,2146
1,2146
1,2146
1,2146
0,2146
4,2146
-2,2146
0,2146
2,2146
-2,2146
-4,2146
0,2146
3,2148
0,2148
-2,2148
0,2148
0,2148
0,2148
2,2148
-2,2148
3,2148
4,2148
1,2148
-2,2148
0,2151
-1,2151
1,2151
-5,2151
5,2151
4,2151
0,2151
0,2151
-1,2151
3,2151
0,2151
-2,2151
-1,2151
2,2153
0,2153
-3,2153
3,2153
1,2153
-3,2153
2,2153
-2,2153
-3,2153
4,2153
1,2153
2,2153
-3,2156
-2,2156
0,2156
-1,2156
3,2156
-1,2156
5,2156
0,2156
-1,2156
0,2156
-4,2156
4,2156
0,2156
0,2158
0,2158
-1,2158
2,2158
2,2158
0,2158
0,2158
0,2158
1,2158
2,2158
-1,2158
-2,2158
-1,2161
4,2161
3,2161
-2,2161
2,2161
-4,2161
-1,2161
3,2161
0,2161
-1,2161
-1,2161
0,2161
1,2161
2,2163
1,2163
1,2163
0,2163
2,2163
2,2163
2,2163
1,2163
3,2163
1,2163
1,2163
-1,2163
0,2166
3,2166
-1,2166
-1,2166
4,2166
2,2166
1,2166
1,2166
-2,2166
3,2166
1,2166
-3,2166
2,2166
-2,2168
1,2168
2,2168
0,2168
-1,2168
2,2168
0,2168
-1,2168
-3,2168
3,2168
2,2168
0,2168
3,2170
